LCLid,Date,KWH
MAC000002,01/01/2022,10.8
MAC000002,02/01/2022,13.3
MAC000002,03/01/2022,10.074
MAC000002,04/01/2022,9.857
MAC000002,05/01/2022,11.171
MAC000002,06/01/2022,10.293
MAC000002,07/01/2022,9.439
MAC000002,08/01/2022,11.64
MAC000002,09/01/2022,15.259
MAC000002,10/01/2022,10.74
MAC000002,11/01/2022,10.979
MAC000002,12/01/2022,10.586
MAC000002,13/01/2022,10.36
MAC000002,14/01/2022,12.273
MAC000002,15/01/2022,9.83
MAC000002,16/01/2022,14.408
MAC000002,17/01/2022,9.857
MAC000002,18/01/2022,16.922
MAC000002,19/01/2022,15.742
MAC000002,20/01/2022,11.53
MAC000002,21/01/2022,12.666
MAC000002,22/01/2022,10.87
MAC000002,23/01/2022,10.99
MAC000002,24/01/2022,12.124
MAC000002,25/01/2022,11.26
MAC000002,26/01/2022,16.348
MAC000002,27/01/2022,11.466
MAC000002,28/01/2022,9.907
MAC000002,29/01/2022,9.886
MAC000002,30/01/2022,10.297
MAC000002,31/01/2022,9.208
MAC000002,01/08/2022,7.92
MAC000002,02/08/2022,8.847
MAC000002,03/08/2022,7.746
MAC000002,04/08/2022,9.085
MAC000002,05/08/2022,9.564
MAC000002,06/08/2022,8.745
MAC000002,07/08/2022,8.784
MAC000002,08/08/2022,8.303
MAC000002,09/08/2022,9.381
MAC000002,10/08/2022,8.562
MAC000002,11/08/2022,8.567
MAC000002,12/08/2022,8.021
MAC000002,13/08/2022,7.709
MAC000002,14/08/2022,9.252
MAC000002,15/08/2022,10.068
MAC000002,16/08/2022,9.098
MAC000002,17/08/2022,8.702
MAC000002,18/08/2022,8.464
MAC000002,19/08/2022,8.498
MAC000002,20/08/2022,8.225
MAC000002,21/08/2022,9.566
MAC000002,22/08/2022,8.019
MAC000002,23/08/2022,8.18
MAC000002,24/08/2022,8.955
MAC000002,25/08/2022,8.91
MAC000002,26/08/2022,8.058
MAC000002,27/08/2022,10.4
MAC000002,28/08/2022,7.937
MAC000002,29/08/2022,9.9
MAC000002,30/08/2022,8.046
MAC000002,31/08/2022,8.538
